apc_code,hcpcs_code,payment_rate,description
1064,A9517,24.07,"I131 iodide cap, rx"
1138,J1573,69.58,"Hepagam b intravenous, inj"
1139,J2724,15.01,Protein c concentrate
1142,J9226,43185.34,Supprelin la implant
1150,A9530,20.77,"I131 iodide sol, rx"
1168,J9330,20.32,Temsirolimus injection
1178,J0594,0.89,Busulfan injection
1203,J3396,11.56,Verteporfin injection
1207,J2353,199.17,"Octreotide injection, depot"
1213,J7186,1.24,Antihemophilic viii/vwf comp
1214,J1459,50.28,Inj ivig privigen 500 mg
1232,J9280,26.1,Mitomycin injection
1235,J9357,1303.34,Valrubicin injection
1237,J1750,18.08,Inj iron dextran
1238,J8705,125.09,Topotecan oral
1253,J3300,24.49,Triamcinolone a inj prs-free
1263,J7197,4.05,Antithrombin iii injection
1268,J7185,1.59,Xyntha inj
1274,J0600,6209.68,Edetate calcium disodium inj
1281,C9257,1.84,Bevacizumab injection
1289,J0586,8.8,Abobotulinumtoxina
1295,A9604,3159.8,Sm 153 lexidronam
1296,J9155,4.45,Degarelix injection
1297,Q0138,0.36,"Ferumoxytol, non-esrd"
1311,J0638,147.74,Canakinumab injection
1312,J1559,14.54,Hizentra injection
1327,J1786,43.23,Imuglucerase injection
1340,J0775,75.74,"Collagenase, clost hist inj"
1352,J7183,1.32,Wilate injection
1353,J0490,57.16,Belimumab injection
1413,J0221,207.38,Lumizyme injection
1415,J0257,5.69,Glassia injection
1416,J7180,10.76,Factor xiii anti-hem factor
1417,J7326,528.05,Gel-one
1420,J0178,763.9,Aflibercept injection
1421,Q2049,298.74,Imported lipodox inj
1426,J9179,72.61,Eribulin mesylate injection
1431,J0716,1051.34,Centruroides immune f(ab)
1441,C9176,10.0,Dom nonHEU Tc99m add-on/dose
1446,Q9968,9.81,Visualization adjunct
1458,J2760,420.56,Phentolaine mesylate inj
1464,J7191,5.46,Factor viii (porcine)
1467,J7200,1.74,Factor ix recombinan rixubis
1468,J0401,7.28,"Inj, abilify maintena, 1 mg"
1469,J1442,1.0,Inj filgrastim excl biosimil
1471,J9306,17.01,"Injection, pertuzumab, 1 mg"
1474,J0717,3.87,Certolizumab pegol inj 1mg
1475,J1602,11.63,Golimumab for iv use 1mg
1476,J9301,81.62,Obinutuzumab inj
1478,J7178,1.52,Inj human fibrinogen con nos
1480,J1322,311.94,"Elosulfase alfa, injection"
1482,J0882,3.02,"Darbepoetin alfa, esrd use"
1485,Q0139,0.36,"Ferumoxytol, esrd use"
1486,J7201,3.6,Factor ix alprolix recomb
1488,J9308,75.58,"Injection, ramucirumab"
1489,J3380,21.37,Inj vedolizumab iv 1 mg
1490,J9271,59.73,Inj pembrolizumab
1505,0693T,350.5,Compre ful bdy 3d mtn alys
1505,0733T,350.5,Rem r-t mtn nrehab ther sply
1506,M0224,450.5,Pemivibart infusion
1506,M0235,450.5,"Intrav inf, mon anti, fir do"
1506,M0236,450.5,"Intrav inf, mon anti, sec do"
1506,M0237,450.5,"Intrav inf, toci, first dose"
1506,M0238,450.5,"Intrav inf, toci, second dos"
1506,M0249,450.5,Adm tocilizu covid-19 1st
1506,M0250,450.5,Adm tocilizu covid-19 2nd
1508,0721T,650.5,Quan ct tiss charac w/o ct
1508,0722T,650.5,Quan ct tiss charac w/ct
1508,0877T,650.5,Augmnt alys ch ct ild w/o ct
1508,0878T,650.5,Augmnt alys ch ct ild w/ct
1508,G0138,650.5,Iv cipaglucosidase alfa-atga
1511,0648T,950.5,Quan mr tis wo mri 1orgn
1511,0649T,950.5,Quan mr tiss w/mri 1orgn
1511,0697T,950.5,Quan mr tis wo mri mlt orgn
1511,0698T,950.5,Quan mr tiss w/mri mlt orgn
1511,0723T,950.5,Qmrcp w/o dx mri sm anat ses
1511,0724T,950.5,Qmrcp w/dx mri same anatomy
1511,0889T,950.5,Prsnlz trgt dvl arhfcmrigtbs
1511,75577,950.5,Quan&char c athrosclrtc plaq
1512,G2082,1050.5,Visit esketamine 56m or less
1516,97007,1450.5,Mchnl sclp cool meas fitg
1517,78432,1550.5,Myocrd img pet 2rtracer
1518,G2083,1650.5,"Visit esketamine, > 56m"
1521,G0562,1950.5,Complex simulation w/pet-ct
1522,78431,2250.5,Myocrd img pet rst&strs ct
1522,78433,2250.5,Myocrd img pet 2rtracer ct
1524,G0563,3250.5,Sbrt w/positron emission del
1525,0890T,3750.5,Arhfcmrigtbs 1st tx day
1525,0891T,3750.5,Arhfcmrigtbs sbsq tx day
1525,0892T,3750.5,Arhfcmrigtbs sbsq per tx day
1532,15013,7250.5,Prepj skn cll ssp agrft 1st
1532,C8002,7250.5,"Prep skin cell susp, automtd"
1534,C9780,8250.5,Insert cv cath inf & sup app
1537,C9792,9750.5,Blind/nonblind trans atrial
1551,C9789,1250.5,Instill pharm renal pelvis
1551,C9791,1250.5,Mri hyperpolarized xenon129
1563,0446T,4250.5,Insj impltbl glucose sensor
1563,0448T,4250.5,Remvl insj impltbl gluc sens
1563,0810T,4250.5,Subrta njx rx agt w/vtrc
1576,0686T,17500.5,Histotripsy mal hepatcel tis
1576,0888T,17500.5,Histotripsy mal renal tissue
1576,C8005,17500.5,Pef bronch ablt 3d nav ebus
1578,0871T,27500.5,Rplcmt subq prtl ascites pmp
1579,0870T,35000.5,Imp subq prtl ascts pmp sys
1580,0620T,45000.5,Evasc ven artlz tibl/prnl vn
1580,33276,45000.5,Insj phrnc nrv stim sys
1580,64568,45000.5,Opn impltj crnl nrv nea&pg
1580,64654,45000.5,1st opn implt bat modulj sys
1590,C9758,17500.5,Blind interatrial shunt ide
1590,C9782,17500.5,Blind myocar trpl bon marrow
1592,C9760,27500.5,Non-blind interatrial shunt
1609,J2792,33.91,"Rho(d) immune globulin h, sd"
1613,J9355,73.48,Inj trastuzumab excl biosimi
1630,90371,137.83,Hep b ig im
1643,A9543,56824.55,"Y90 ibritumomab, rx"
1656,J7205,2.47,Factor viii fc fusion recomb
1658,J9032,53.11,"Injection, belinostat, 10mg"
1660,J2407,28.47,"Injection, oritavancin"
1662,J3090,1.96,Inj tedizolid phosphate
1664,A9586,1825.64,Florbetapir f18
1670,J1670,588.54,Tetanus immune globulin inj
1675,A9563,278.24,P32 na phosphate
1683,J0480,4781.07,Basiliximab
1685,J0881,3.02,"Darbepoetin alfa, non-esrd"
1686,J0885,7.74,"Epoetin alfa, non-esrd"
1687,J1162,5166.99,Digoxin immune fab (ovine)
1688,J1430,517.08,Ethanolamine oleate 100 mg
1689,J1451,6.43,"Fomepizole, 15 mg"
1690,J1640,35.31,"Hemin, 1 mg"
1694,J2278,10.56,Ziconotide injection
1696,J2425,36.63,Palifermin injection
1700,J2850,40.44,Inj secretin synthetic human
1701,J3285,54.48,Treprostinil injection
1704,J7187,1.49,"Humate-p, inj"
1705,J7189,2.62,Factor viia recomb novoseven
1710,J9027,14.37,Clofarabine injection
1712,J9264,8.18,Paclitaxel protein bound
1744,J3485,1.51,Zidovudine
1745,A9606,171.92,Radium ra223 dichloride ther
1746,J7181,18.56,Factor xiii recomb a-subunit
1747,J7327,564.77,Monovisc inj per dose
1748,J1447,0.25,Inj tbo filgrastim 1 microg
1761,J8670,2.0,"Rolapitant, oral, 1mg"
1809,J0202,2447.1,"Injection, alemtuzumab"
1822,Q5101,0.35,"Injection, zarxio"
1823,J0875,15.59,"Injection, dalbavancin"
1824,J0712,4.24,Ceftaroline fosamil inj
1825,J0714,104.71,Ceftazidime and avibactam
1826,J1575,18.32,Hyqvia 100mg immuneglobulin
1827,J7188,3.23,Factor viii recomb obizur
1829,J0561,31.96,Penicillin g benzathine inj
1831,J0720,50.26,Chloramphenicol sodium injec
1832,J1212,749.23,Dimethyl sulfoxide 50% 50 ml
1844,J7207,2.16,Factor viii pegylated recomb
1846,J7209,1.13,Factor viii nuwiq recomb 1iu
1847,Q5103,24.22,"Injection, inflectra"
1848,C9250,142.48,Artiss fibrin sealant
1850,J1460,49.92,Gamma globulin 1 cc inj
1851,J1560,104.52,Gamma globulin > 10 cc inj
1853,J2265,2.67,Minocycline hydrochloride
1854,J2515,36.26,Pentobarbital sodium inj
1856,J7182,1.55,Factor viii recomb novoeight
1857,J7175,9.92,"Inj, factor x, (human), 1iu"
1859,J0883,0.61,Argatroban nonesrd use 1mg
1861,J9034,12.83,"Inj., bendeka 1 mg"
1862,J7328,0.67,Gelsyn-3 injection 0.1 mg
2062,J9276,25.0,"Inj zanidatamab-hrii, 2 mg"
2064,J7172,50.47,"Inj marstacim-hncq, 0.5 mg"
2065,A9611,530.0,"Flurpiridaz f18, diag, 1 mci"
2066,J9054,25.63,Inj bortezomib boruzu 0.1 mg
2067,Q2057,770620.0,Afamitresgene autoleucel
2068,Q5147,866.2,"Inj, aflibercept-ayyh, 1 mg"
2069,J1072,1.32,"Inj, testosterone, azmiro"
2070,J1299,45.03,"Inj, eculizumab, 2 mg"
2071,J2351,47.04,Inj ocrelizumab 1mg hya-ocsq
2072,J2428,15.3,"Inj, erzofri, 1 mg"
2073,J9024,32.1,Inj atezolizumb 5mg hya-tqjs
2075,J0138,0.09,Inj acetaminoph 10mg/ibu 3mg
2076,J9292,81.23,"Inj, pemetrexed dipotassium"
2616,C2616,17771.01,"Brachytx, non-str,yttrium-90"
2632,A9527,396.32,Iodine i-125 sodium iodide
2634,C2634,174.06,"Brachytx, non-str, ha, i-125"
2635,C2635,106.75,"Brachytx, non-str, ha, p-103"
2636,C2636,89.4,"Brachy linear, non-str,p-103"
2638,C2638,35.26,"Brachytx, stranded, i-125"
2639,C2639,36.64,"Brachytx, non-stranded,i-125"
2640,C2640,88.26,"Brachytx, stranded, p-103"
2641,C2641,64.48,"Brachytx, non-stranded,p-103"
2642,C2642,119.11,"Brachytx, stranded, c-131"
2643,C2643,99.8,"Brachytx, non-stranded,c-131"
2645,C1716,513.57,"Brachytx, non-str, gold-198"
2646,C1717,357.49,"Brachytx, non-str,hdr ir-192"
2647,C1719,908.7,"Brachytx, ns, non-hdrir-192"
2648,C2645,4.69,"Brachytx planar, p-103"
2698,C2698,35.26,"Brachytx, stranded, nos"
2699,C2699,36.64,"Brachytx, non-stranded, nos"
2731,J1566,78.89,"Immune globulin, powder"
5012,0811T,136.02,Rem mlt day uroflow setup
5012,0982T,136.02,Rem mntr impl ivc snr set-up
5012,1008T,136.02,Rem mntr s-scl eeg sys setup
5012,92002,136.02,Intrm oph exam new patient
5012,92004,136.02,Compre oph exam new pt 1/>
5012,92012,136.02,Intrm oph exam est patient
5012,92014,136.02,Compre oph exam est pt 1/>
5012,95250,136.02,Cont gluc mntr phys/qhp eqp
5012,98975,136.02,Rtm 1st set-up&pt educaj eqp
5012,99453,136.02,Rem mntr physiol param setup
5012,99460,136.02,Init nb em per day hosp
5012,99463,136.02,Same day nb discharge
5012,99495,136.02,Transj care mgmt mod f2f 14d
5012,99496,136.02,Transj care mgmt high f2f 7d
5012,D0120,136.02,Periodic oral evaluation
5012,D0140,136.02,Limit oral eval problm focus
5012,D0150,136.02,Comprehensve oral evaluation
5012,D0160,136.02,Extensv oral eval prob focus
5012,D0170,136.02,"Re-eval,est pt,problem focus"
5012,D0171,136.02,Re-eval post-op visit
5012,D0180,136.02,Comp periodontal evaluation
5012,D0191,136.02,Assessment of a patient
5012,D1110,136.02,Dental prophylaxis adult
5012,D4921,136.02,Gingival irrigation per quad
5012,G0245,136.02,Initial foot exam pt lops
5012,G0246,136.02,Followup eval of foot pt lop
5012,G0248,136.02,Demonstrate use home inr mon
5012,G0249,136.02,Provide inr test mater/equip
5012,G0402,136.02,Initial preventive exam
5012,G0463,136.02,Hospital outpt clinic visit
5012,G0552,136.02,Supply of digital device
5012,G0553,136.02,Monthly tx for dmht 20mins
5021,99281,86.15,Emr dpt vst mayx req phy/qhp
5022,99282,156.87,Emergency dept visit sf mdm
5023,99283,278.89,Emergency dept visit low mdm
5024,90945,426.3,Dialysis one evaluation
5024,99284,426.3,Emergency dept visit mod mdm
5024,G0175,426.3,"Opps service,sched team conf"
5025,99285,608.43,Emergency dept visit hi mdm
5025,G0379,608.43,Direct refer hospital observ
5031,G0380,75.94,Lev 1 hosp type b ed visit
5032,G0381,94.9,Lev 2 hosp type b ed visit
5033,G0382,175.61,Lev 3 hosp type b ed visit
5034,G0383,270.03,Lev 4 hosp type b ed visit
5035,G0384,419.62,Lev 5 hosp type b ed visit
5041,99291,843.92,Critical care first hour
5045,G0390,1361.78,Trauma respons w/hosp criti
5051,0447T,204.98,Rmvl impltbl glucose sensor
5051,0512T,204.98,Esw integ wnd hlg 1st wnd
5051,0906T,204.98,Coms ther 1st appl<=50 sq cm
5051,10040,204.98,Extraction
5051,10060,204.98,I&d abscess simple/single
5051,11055,204.98,Paring/cutg b9 hyprker les 1
5051,11056,204.98,Parng/cutg b9 hyprkr les 2-4
5051,11057,204.98,Parng/cutg b9 hyprkr les >4
5051,11200,204.98,Rmvl skin tags up to&inc 15
5051,11301,204.98,Shave skin lesion 0.6-1.0 cm
5051,11302,204.98,Shave skin lesion 1.1-2.0 cm
5051,11305,204.98,Shave skin lesion 0.5 cm/<
5051,11306,204.98,Shave skin lesion 0.6-1.0 cm
5051,11307,204.98,Shave skin lesion 1.1-2.0 cm
5051,11310,204.98,Shave skin lesion 0.5 cm/<
5051,11311,204.98,Shave skin lesion 0.6-1.0 cm
5051,11730,204.98,Avulsion nail plate simple 1
5051,11900,204.98,Inject skin lesions </w 7
5051,11901,204.98,Inject skin lesions >7
5051,11950,204.98,Subq njx filling matrl 1cc/<
5051,12001,204.98,Rpr s/n/ax/gen/trnk 2.5cm/<
5051,12002,204.98,Rpr s/n/ax/gen/trnk2.6-7.5cm
5051,12004,204.98,Rpr s/n/ax/gen/trk7.6-12.5cm
5051,12007,204.98,Rpr s/n/ax/gen/trnk >30.0 cm
5051,12011,204.98,Rpr f/e/e/n/l/m 2.5 cm/<
5051,12013,204.98,Rpr f/e/e/n/l/m 2.6-5.0 cm
5051,12014,204.98,Rpr f/e/e/n/l/m 5.1-7.5 cm
5051,12015,204.98,Rpr f/e/e/n/l/m 7.6-12.5 cm
5051,12018,204.98,Rpr f/e/e/n/l/m >30.0 cm
5051,15786,204.98,Abrasion lesion single
5051,16000,204.98,Initial treatment of burn(s)
5051,16020,204.98,Dress/debrid p-thick burn s
5051,16025,204.98,Dress/debrid p-thick burn m
5051,17000,204.98,Destruct premalg lesion
5051,17110,204.98,Destruction b9 les up to 14
5051,17111,204.98,Destruction b9 lesions 15/>
5051,17250,204.98,Chem caut of granltj tissue
5051,17260,204.98,Dstrj mal les t/a/l 0.5 cm/<
5051,17261,204.98,Dstrj mal les t/a/l .6-1.0cm
5051,17262,204.98,Dstrj mal les t/a/l 1.1-2.0
5051,17263,204.98,Dstrj mal les t/a/l 2.1-3.0
5051,17270,204.98,Dstr mal les s/n/h/f/g .5 /<
5051,17271,204.98,Dstr mal les s/n/h/f/g 0.6-1
5051,17272,204.98,Dstr mal les s/n/h/f/g 1.1-2
5051,17280,204.98,Dstr mal ls f/e/e/n/l/m .5/<
5051,17281,204.98,Dstr mal ls f/e/e/n/l/m .6-1
5051,17282,204.98,Dstr mal ls f/e/e/n/l/m1.1-2
5051,17360,204.98,Chemical exfoliation acne
5051,17999,204.98,Unlistd px skn muc memb subq
5051,26010,204.98,Drainage of finger abscess
5051,46916,204.98,Cryosurgery anal lesion(s)
5051,54056,204.98,Cryosurgery penis lesion(s)
5051,69220,204.98,Clean out mastoid cavity
5051,96567,204.98,Pdt dstr prmlg les skn
5051,96573,204.98,Pdt dstr prmlg les phys/qhp
5051,96574,204.98,Dbrdmt prmlg les w/pdt
5051,96920,204.98,Excimer lsr psriasis<250sqcm
5051,96921,204.98,Excimer lsr psriasis 250-500
5051,96999,204.98,Unlisted spec derm svc/px
5051,97597,204.98,Dbrdmt opn wnd 1st 20 cm/<
5051,97602,204.98,Wound(s) care non-selective
5051,97605,204.98,Neg prs wnd ther dme<=50sqcm
5051,97610,204.98,Low frequency non-thermal us
5051,G0247,204.98,Routine footcare pt w lops
5052,0973T,415.32,Slctv nzmtc dbrdmt t/a/l 1st
5052,0975T,415.32,Slctv nzmtc dbrdmt s/n/hf 1
5052,10021,415.32,Fna bx w/o img gdn 1st les
5052,10061,415.32,I&d abscess comp/multiple
5052,10120,415.32,Inc&rmvl fb subq tiss smpl
5052,10160,415.32,Pnxr aspir absc hmtma bulla
5052,11000,415.32,Dbrdmt ecz/infected skin<10%
5052,11042,415.32,Dbrdmt subq tis 1st 20sqcm/<
5052,11102,415.32,Tangntl bx skin single les
5052,11104,415.32,Punch bx skin single lesion
5052,11300,415.32,Shave skin lesion 0.5 cm/<
5052,11303,415.32,Shave skin lesion >2.0 cm
5052,11308,415.32,Shave skin lesion >2.0 cm
5052,11312,415.32,Shave skin lesion 1.1-2.0 cm
5052,11313,415.32,Shave skin lesion >2.0 cm
5052,11401,415.32,Exc tr-ext b9+marg 0.6-1 cm
5052,11602,415.32,Exc tr-ext mal+marg 1.1-2 cm
5052,11750,415.32,Excision nail&nail matrix
5052,11765,415.32,Wedge excision skn nail fold
5052,12005,415.32,Rpr s/n/a/gen/trk12.6-20.0cm
5052,12006,415.32,Rpr s/n/a/gen/trk20.1-30.0cm
5052,12016,415.32,Rpr fe/e/en/l/m 12.6-20.0 cm
5052,12017,415.32,Rpr fe/e/en/l/m 20.1-30.0 cm
5052,12021,415.32,Tx supfc wnd dehsn w/packing
5052,12031,415.32,Intmd rpr s/a/t/ext 2.5 cm/<
5052,12032,415.32,Intmd rpr s/a/t/ext 2.6-7.5
5052,12034,415.32,Intmd rpr s/tr/ext 7.6-12.5
5052,12035,415.32,Intmd rpr s/a/t/ext 12.6-20
5052,12041,415.32,Intmd rpr n-hf/genit 2.5cm/<
5052,12042,415.32,Intmd rpr n-hf/genit2.6-7.5
5052,12051,415.32,Intmd rpr face/mm 2.5 cm/<
5052,12052,415.32,Intmd rpr face/mm 2.6-5.0 cm
5052,12053,415.32,Intmd rpr face/mm 5.1-7.5 cm
5052,12054,415.32,Intmd rpr face/mm 7.6-12.5cm
5052,12055,415.32,Intmd rpr face/mm 12.6-20 cm
5052,12056,415.32,Intmd rpr face/mm 20.1-30.0
5052,12057,415.32,Intmd rpr face/mm >30.0 cm
5052,13120,415.32,Cmplx rpr s/a/l 1.1-2.5 cm
5052,13121,415.32,Cmplx rpr s/a/l 2.6-7.5 cm
5052,13131,415.32,Cmplx rpr f/c/c/m/n/ax/g/h/f
5052,13132,415.32,Cmplx rpr f/c/c/m/n/ax/g/h/f
5052,15004,415.32,Wound prep f/n/hf/g
5052,15775,415.32,Hair trnspl 1-15 punch grfts
5052,15776,415.32,Hair trnspl >15 punch grafts
5052,15783,415.32,Dermabrasion suprfl any site
5052,15788,415.32,Chemical peel facial epidrm
5052,15793,415.32,Chemical peel nonfacial drm
5052,16030,415.32,Dress/debrid p-thick burn l
5052,16035,415.32,Escharotomy 1st incision
5052,17004,415.32,Destroy premal lesions 15/>
5052,17106,415.32,Dstr cut vsc prlf les<10sqcm
5052,17264,415.32,Dstrj mal les t/a/l 3.1-4.0
5052,17266,415.32,Dstrj mal les t/a/l >4.0 cm
5052,17273,415.32,Dstr mal les s/n/h/f/g 2.1-3
5052,17274,415.32,Dstr mal les s/n/h/f/g 3.1-4
5052,17276,415.32,Dstr mal les s/n/h/f/g >4.0
5052,17283,415.32,Dstr mal ls f/e/e/n/l/m2.1-3
5052,36468,415.32,Njx sclrsnt spider veins
5052,36470,415.32,Njx sclrsnt 1 incmptnt vein
5052,36471,415.32,Njx sclrsnt mlt incmptnt vn
5052,46900,415.32,Destruction anal lesion(s)
5052,54050,415.32,Destruction penis lesion(s)
5052,96913,415.32,Photochemotx sev dermatoses
5052,96922,415.32,Excimer lsr psriasis>500sqcm
5052,97606,415.32,Neg prs wnd ther dme>50 sqcm
5052,97607,415.32,Neg prs wnd thr ndme<=50sqcm
5052,97608,415.32,Neg prs wnd ther ndme>50sqcm
5053,0419T,755.08,Dstrj neurofibroma xtnsv
5053,0420T,755.08,Dstrj neurofibroma xtnsv
5053,0479T,755.08,Fxjl abl lsr 1st 100 sq cm
5053,11043,755.08,Dbrdmt musc&/fsca 1st 20/<
5053,11106,755.08,Incal bx skn single les
5053,11760,755.08,Repair of nail bed
5053,11920,755.08,Correct skin color 6.0 cm/<
5053,11921,755.08,Correct skn color 6.1-20.0cm
5053,11951,755.08,Subq njx fil matrl 1.1-5.0cc
5053,11952,755.08,Subq njx fil matrl 5.1-10cc
5053,11954,755.08,Subq njx fil matrl>10.0 cc
5053,12020,755.08,Tx supfc wnd dehsn smpl clsr
5053,12036,755.08,Intmd rpr s/a/t/ext 20.1-30
5053,12044,755.08,Intmd rpr n-hf/genit7.6-12.5
5053,12045,755.08,Intmd rpr n-hf/genit12.6-20
5053,12046,755.08,Intmd rpr n-hf/genit20.1-30
5053,13100,755.08,Cmplx rpr trunk 1.1-2.5 cm
5053,13101,755.08,Cmplx rpr trunk 2.6-7.5 cm
5053,13151,755.08,Cmplx rpr e/n/e/l 1.1-2.5 cm
5053,13152,755.08,Cmplx rpr e/n/e/l 2.6-7.5 cm
5053,15002,755.08,Wound prep trk/arm/leg
5053,15050,755.08,Pinch graft up to 2 cm diam
5053,15271,755.08,Skin sub graft trnk/arm/leg
5053,15275,755.08,Skin sub graft face/nk/hf/g
5053,15789,755.08,Chemical peel facial dermal
5053,15792,755.08,Chem peel nonfacial epidrm
5053,15852,755.08,Dressing change not for burn
5053,17107,755.08,Dstr cut vsc prlf les10-50sq
5053,17284,755.08,Dstr mal ls f/e/e/n/l/m3.1-4
5053,17286,755.08,Dstr mal ls f/e/e/n/l/m>4.0
5053,17311,755.08,Mohs 1 stage h/n/hf/g
5053,17313,755.08,Mohs 1 stage t/a/l
5053,17380,755.08,Electrolysis epilation ea 30
5053,20910,755.08,Remove cartilage for graft
5054,0416T,2107.97,Reloc skin pocket pls gen
5054,0862T,2107.97,Rlcj pg wcs lv battery only
5054,0863T,2107.97,Rlcj pg wcs lv trnsmtr only
5054,0925T,2107.97,Rlcj skin pocket ccm-d pg
5054,11762,2107.97,Reconstruction of nail bed
5054,12037,2107.97,Intmd rpr s/tr/ext >30.0 cm
5054,12047,2107.97,Intmd rpr n-hf/genit >30.0cm
5054,14000,2107.97,Tis trnfr trunk 10 sq cm/<
5054,14001,2107.97,Tis trnfr trunk 10.1-30sqcm
5054,14020,2107.97,Tis trnfr s/a/l 10 sq cm/<
5054,14021,2107.97,Tis trnfr s/a/l 10.1-30 sqcm
5054,14040,2107.97,Tis trnfr f/c/c/m/n/a/g/h/f
5054,14041,2107.97,Tis trnfr f/c/c/m/n/a/g/h/f
5054,14060,2107.97,Tis trnfr e/n/e/l 10 sq cm/<
5054,14061,2107.97,Tis trnfr e/n/e/l10.1-30sqcm
5054,14350,2107.97,Filleted finger/toe flap
5054,15011,2107.97,Hrv skn cll ssp agrft 1st 25
5054,15015,2107.97,App skn cl ssp agrft t/a/l 1
5054,15017,2107.97,App skn cll ssp f/n/g/hf 1st
5054,15040,2107.97,Harvest cultured skin graft
5054,15100,2107.97,Splt agrft t/a/l 1st 100sqcm
5054,15110,2107.97,Epidrm agrft t/a/l 1st 100
5054,15115,2107.97,Epdrm agrft f/s/n/h/f/g/m 1
5054,15130,2107.97,Drm agrft t/a/l 1st 100 sqcm
5054,15150,2107.97,Tis cltr skn agrft t/a/l 1st
5054,15200,2107.97,Fth/gft fr trnk 20 sq cm/<
5054,15220,2107.97,Fth/gft fr s/a/l 20 sq cm/<
5054,15240,2107.97,Fth/gft f/c/c/m/n/ax/g/h/f20
5054,15260,2107.97,Fth/gft fr n/e/e/l 20 sqcm/<
5054,15273,2107.97,Skin sub grft t/arm/lg child
5054,15277,2107.97,Skn sub grft f/n/hf/g child
5054,15570,2107.97,Skin pedicle flap trunk
5054,15574,2107.97,Pedcle fh/ch/ch/m/n/ax/g/h/f
5054,15576,2107.97,Pedicle e/n/e/l/ntroral
5054,15610,2107.97,Delay flap arms/legs
5054,15620,2107.97,Delay flap f/c/c/n/ax/g/h/f
5054,15630,2107.97,Delay flap eye/nos/ear/lip
5054,15650,2107.97,Transfer skin pedicle flap
5054,15736,2107.97,Muscle-skin graft arm
5054,15740,2107.97,Island pedicle flap graft
5054,15760,2107.97,Composite skin graft
5054,15773,2107.97,Grfg autol fat lipo 25 cc/<
5054,15820,2107.97,Blepharoplasty lower eyelid
5054,15821,2107.97,Blepharp lwr eyelid fat pad
5054,15822,2107.97,Blepharoplasty upper eyelid
5054,15823,2107.97,Blepharp upr eyelid xcsv skn
5054,15824,2107.97,Rhytidectomy forehead
5054,15842,2107.97,Nerve palsy microsurg graft
5054,15851,2107.97,Removal sutr/staple req anes
5054,15878,2107.97,Suction lipectomy upr extrem
5054,15936,2107.97,Exc sac pr ulc prep mus flap
5054,15937,2107.97,Exc sac pr ulc prep mus ostc
5054,15945,2107.97,Exc isch pr ulc skn flp ostc
5054,15946,2107.97,Exc isch pr ulc prep mus flp
5054,15952,2107.97,Exc trchntr pr ulc flp clsr
5054,15956,2107.97,Exc trchntr pr ulc prep flap
5054,17108,2107.97,Dstr cut vsc prlf les>50sqcm
5054,20101,2107.97,Expl pentrg wound chest
5054,20102,2107.97,Expl pentrg wnd abd/flnk/bk
5054,20920,2107.97,Removal of fascia for graft
5054,20922,2107.97,Removal of fascia for graft
5054,23921,2107.97,Disarticulation sho sec clsr
5054,25929,2107.97,Amputation follow-up surgery
5054,33222,2107.97,Relocation pocket pacemaker
5054,33223,2107.97,Relocate pocket for defib
5054,36465,2107.97,Njx noncmpnd sclrsnt 1 vein
5054,36466,2107.97,Njx noncmpnd sclrsnt mlt vn
5054,43887,2107.97,Gstr rstcv px opn rmvl port
5054,46910,2107.97,Destruction anal lesion(s)
5054,54055,2107.97,Destruction penis lesion(s)
5054,54057,2107.97,Laser surg penis lesion(s)
5054,54060,2107.97,Excision of penis lesion(s)
5054,54065,2107.97,Destruction penis lesion(s)
5054,56501,2107.97,Destroy vulva lesions sim
5054,56515,2107.97,Destroy vulva lesion/s compl
5054,G0429,2107.97,Dermal filler injection(s)
5054,G0460,2107.97,Autolog prp not diab ulcer
5054,G0465ÿ,2107.97,Autolog prp diab wound ulcer
5055,0717T,3620.48,Adrc ther prtl rc tear
5055,0718T,3620.48,Adrc ther prtl rc tear njx
5055,11960,3620.48,Insert tissue expander(s)
5055,13160,3620.48,Sec clsr surg wnd/dehsn xtn
5055,14301,3620.48,Tis trnfr any 30.1-60 sq cm
5055,15120,3620.48,Splt agrft f/s/n/h/f/g/m 1st
5055,15135,3620.48,Drm agrft f/s/n/h/f/g/m 1st
5055,15155,3620.48,Tis cltr agrft f/s/n/h/f/g 1
5055,15572,3620.48,Skin pedicle flap arms/legs
5055,15600,3620.48,Delay flap trunk
5055,15730,3620.48,Mdfc flap w/prsrv vasc pedcl
5055,15731,3620.48,Forehead flap w/vasc pedicle
5055,15733,3620.48,Musc myoq/fscq flp h&n pedcl
5055,15734,3620.48,Muscle-skin graft trunk
5055,15738,3620.48,Muscle-skin graft leg
5055,15750,3620.48,Neurovascular pedicle flap
5055,15769,3620.48,Grfg autol soft tiss dir exc
5055,15770,3620.48,Derma-fat-fascia graft
5055,15771,3620.48,Grfg autol fat lipo 50 cc/<
5055,15825,3620.48,Rhytdct nck pltysml tghtg
5055,15826,3620.48,Rhytidectomy glblr frn lines
5055,15828,3620.48,Rhytidectomy cheek chn & nck
5055,15829,3620.48,Rhytidectomy smas flap
5055,15840,3620.48,Nerve palsy fascial graft
5055,15841,3620.48,Nerve palsy muscle graft
5055,15845,3620.48,Skin and muscle repair face
5055,15876,3620.48,Suction lipectomy head&neck
5055,15877,3620.48,Suction lipectomy trunk
5055,15879,3620.48,Suction lipectomy lwr extrem
